Date,Apple_Price,Apple_Transaction_Quantity,Mandarin_Price,Mandarin_Transaction_Quantity,Japanese_Pear_Price,Japanese_Pear_Transaction_Quantity,Hirosaki_Average_Temperature,Hirosaki_Precipitation,Hirosaki_Sunshine_Duration,Hirosaki_Maximum_Snow_Depth,Hirosaki_Snowfall,Hirosaki_Maximum_Wind_Speed,Tokyo_Average_Temperature,Tokyo_Precipitation,Tokyo_Sunshine_Duration,Tokyo_Maximum_Wind_Speed
2011/10/31,333,185738,174,957272,269,68097,12.2,0,2.8,0,0,4.2,18.7,0,7.7,5.6
2011/11/1,308,75558,188,494163,236,124856,11.1,0,8.5,0,0,3.3,17.7,0,9,3.9
2011/11/2,329,125072,181,507237,250,84655,12.9,6.5,6.5,0,0,3.6,17.2,0,7.6,5.3
2011/11/3,,,,,,,13.4,0,6.2,0,0,4.1,18.4,0,0.7,3.3
2011/11/4,306,144401,220,727139,258,89026,9.8,0,7.5,0,0,2.7,18.4,0,6.3,3.5
2011/11/5,308,105528,216,458433,301,138445,9.8,0,1,0,0,2.4,18.9,1.5,2.6,3.3
2011/11/6,,,,,,,12.5,0,0,0,0,3,18.1,7,0,3.5
2011/11/7,337,137208,228,848576,292,61265,11.5,0,5.2,0,0,5.2,18.6,0,7.2,4
2011/11/8,332,76674,241,497681,254,73555,9.6,0,2.4,0,0,4.3,15.7,1,3.2,4.4
2011/11/9,,,,,,,7.9,0,5,0,0,4.5,14.3,0,1.9,3.5
2011/11/10,321,207512,236,934070,256,81180,7.7,0,6.7,0,0,3.7,14.1,0,0.4,4.2
2011/11/11,332,127016,227,791415,253,74805,7.9,0,6.1,0,0,2.6,12.4,19,0,4.9
2011/11/12,324,69809,236,701671,251,57665,10.3,0,8.1,0,0,3.4,16.4,0,6.3,4.1
2011/11/13,,,,,,,10.2,0,3.2,0,0,3.7,17.8,0,8.6,3.1
2011/11/14,334,97578,227,980935,250,50775,8.2,0,5.1,0,0,4.6,16.9,5.5,3.6,4.9
2011/11/15,340,111965,223,772681,258,55225,3.4,9.5,1.9,0,0,6.3,14,0.5,1.8,4.4
2011/11/16,333,113468,207,531206,247,33235,2.5,6.5,1.4,2,2,5.5,12.6,0,8.7,7.3
2011/11/17,334,92357,229,746555,268,37735,3.5,0.5,3.5,0,0,4.4,14.5,0,9.4,7.2
2011/11/18,335,111801,211,905320,253,69895,5.7,0,7.4,0,0,3.2,12.6,0,1.1,3.8
2011/11/19,352,84344,213,843173,270,32870,12.3,45,0,0,0,4.5,16.3,78,0,9.7
2011/11/20,,,,,,,8.4,2,2.2,0,0,7.2,17.4,0,5.4,5.4
2011/11/21,336,132181,206,1025391,226,32570,0.3,3.5,1.3,0,0,7.6,12.6,0,5.9,5.1
2011/11/22,321,139508,197,1038743,272,38528,1.8,1,3.4,1,1,5.7,11.1,0,7.7,4.7
2011/11/23,,,,,,,4.8,0,3.5,0,0,4,12.4,0,8.6,4.6
2011/11/24,351,102297,201,1045045,253,22296,4.6,17,0.1,0,0,7.6,13.3,0,7.4,4.9
2011/11/25,358,97532,202,1026862,236,27955,0.6,5,0.3,6,7,5.9,11.4,0,9.4,5.4
2011/11/26,378,101371,198,1002913,250,26200,3.2,0,4.2,3,0,5.5,10.9,0,8.3,4.6
2011/11/27,,,,,,,7.5,32,0,0,0,3.1,11,0,5.6,4
2011/11/28,341,124630,200,1144064,287,7667,9,0,0.8,0,0,3.1,12.1,0,0,3.1
2011/11/29,398,115332,194,806023,265,10718,8.9,7,0,0,0,4.5,14.4,0,1,2.7
2011/11/30,360,105114,183,770551,324,11457,2.7,0,0,0,0,4,14.6,0,5.7,5.3
2011/12/1,358,122874,211,1242862,277,13464,0,2,1.3,0,0,3.3,7.8,4.5,0,5.8
2011/12/2,391,173735,217,1245148,306,13118,0.7,0,3.1,0,0,2.7,6.1,1.5,0,6.1
2011/12/3,373,116895,216,883568,217,20050,2.6,22,0,0,0,2.9,11.1,35,0.5,5.9
2011/12/4,,,,,,,4.4,19.5,1.4,0,0,7.8,13.4,0,9.3,8.7
2011/12/5,350,143718,212,1461863,337,11164,0.1,3.5,0.6,3,3,8.3,11,0,9.2,6.2
2011/12/6,357,129084,222,835600,289,13283,1.7,0,0.1,1,0,2.2,8,9.5,0,3.7
2011/12/7,367,94933,229,715272,597,4361,2.2,0.5,1.7,0,0,4.7,9.8,0,8.1,4
2011/12/8,402,157018,212,1002628,285,5442,0,0,2.3,0,0,4,8,3.5,0,4.1
2011/12/9,363,136003,219,1144703,297,20595,-0.9,3,3.8,8,8,3.9,5.5,4,2.5,4.4
2011/12/10,356,133482,222,1026787,304,6537,0.7,0,2.6,6,0,3.8,7.3,0,9.1,4.9
2011/12/11,,,,,,,0.7,3,1.7,3,5,6.3,8.1,0,9.1,3.6
2011/12/12,374,130404,231,1316854,335,7653,1,4.5,0.1,4,8,5.1,9.7,0,9,3.8
2011/12/13,344,157208,219,1060842,357,17058,0.4,2,3.8,4,3,5.7,9.7,0,8.9,4.9
2011/12/14,,,,,,,1.3,0.5,3.7,0,0,3.6,7.9,1.5,0,4.2
2011/12/15,394,209893,234,1503288,311,14321,1.2,5.5,0.1,0,0,5.3,10.4,0,8.9,5
2011/12/16,345,137366,231,1305755,273,21816,-3.7,7,0,13,14,3.5,9,0,6.2,8
2011/12/17,360,142096,236,1171984,268,11245,-3,1.5,1.5,13,6,5.1,6.1,0,9.1,5.4
2011/12/18,,,,,,,-1.8,8,1.1,25,17,3.9,7,0,9,3.5
2011/12/19,349,163756,240,1757786,314,13325,-2.4,6,1.1,28,11,4.6,6.5,0,8.4,3.6
2011/12/20,388,137982,237,1199626,289,15361,-3.3,4,0.1,33,10,4.5,7,0,8.7,5.6
2011/12/21,351,149695,245,1058288,293,9160,-2.3,0,4,29,0,2.4,5.8,0,5.2,3.8
2011/12/22,368,145786,242,1420073,485,3601,-1.8,9,0.4,26,10,6.7,5.8,0,0.1,4
2011/12/23,,,,,,,-2.7,12.5,0.3,39,23,6.7,6,0,3.4,7.2
2011/12/24,391,233501,238,2357132,313,12787,-3.2,3,0.8,42,9,5.7,5.5,0,7.4,4.9
2011/12/25,,,,,,,-4.6,7,2.7,48,16,5.7,5.2,0,6,5.4
2011/12/26,365,149008,244,1674621,356,20483,-2.2,9.5,2.3,55,13,5.3,4.9,0,8.2,6.2
2011/12/27,360,155791,245,1353073,412,12303,-2.1,6.5,0.7,59,11,5.3,5.2,0,9,7.9
2011/12/28,361,130174,243,1540313,402,2973,-1.3,0.5,0.8,59,4,4.8,6.2,0,7.8,6.5
2011/12/29,354,95600,240,1140297,210,370,-1,2,0,50,4,5.2,6,0,8.9,6.5
2011/12/30,,,,,,,-1.3,13,0.8,56,11,8.7,6.2,0,9.1,7.2
2011/12/31,,,,,,,1,5,5,50,2,5.7,5.6,0,6.5,4.8
2012/1/1,,,,,,,-1.1,0,0.2,41,2,3.6,5.7,0,3.3,4.3
2012/1/2,,,,,,,0.6,9,0.2,41,3,4.3,6,0,4.6,9.4
2012/1/3,,,,,,,-1.2,5.5,0.7,47,14,4.6,6.6,0,5.2,7.4
2012/1/4,,,,,,,-2,2,2.3,49,7,4.8,5.4,0,7.7,8.7
2012/1/5,351,230075,237,903443,315,120,-2.3,3,1.9,55,10,5.6,5.5,0,9.2,7.5
2012/1/6,379,196723,247,776765,,,-1.9,0,4.6,52,5,5.2,6.3,0,5.9,4.8
2012/1/7,342,147575,239,708256,274,9250,-1,16,0.7,69,24,5.8,5.7,0,9.1,8.3
2012/1/8,,,,,,,-2.6,0,5.1,66,1,5.9,5.8,0,8.2,6.2
2012/1/9,,,,,,,-1.3,0,2.3,60,0,4,5.9,0,9,3.4
2012/1/10,357,225523,239,1004777,296,945,-2.5,0,3.7,56,2,4.3,6.7,0,7.6,4.3
2012/1/11,341,133051,234,425458,,,-5.4,4.5,0.5,62,8,5.3,5.8,0,4.7,10
2012/1/12,358,130345,236,646330,306,2100,-5,6,1.7,72,13,3.8,3.8,0,6.1,9
2012/1/13,350,164756,239,774089,279,9695,-2.8,3.5,0.8,72,9,4.9,5.6,0,9.3,4.7
2012/1/14,346,179112,243,631660,525,150,-5.5,5,0.3,79,10,4.9,5.1,0,6.2,5.8
2012/1/15,,,,,,,-4.2,2.5,1.3,76,6,5.4,4.5,0,1.3,4.6
2012/1/16,341,205864,234,874596,,,-3.4,3.5,0.7,80,11,4.8,4.5,0,0,4
2012/1/17,340,221691,238,525915,511,300,-2.7,0,0.6,79,4,3.4,4.9,0,6.3,4.9
2012/1/18,,,,,,,-2.2,0,6.4,70,0,3,5.4,0,8.3,3.8
2012/1/19,332,219819,235,875254,306,4540,-2.6,0,7.5,68,0,2.5,6.2,0,3.6,5.6
2012/1/20,350,210698,238,593097,525,150,-3.5,0,8.9,65,0,4.4,2.8,9,0,5.8
2012/1/21,342,173951,229,603634,597,1140,-2.3,0,0.6,64,0,2.8,3.4,15,0,6.6
2012/1/22,,,,,,,0.4,0,0.6,63,2,2.2,5.3,3,0.6,4.8
2012/1/23,342,191168,225,636801,299,540,-1.6,1.5,3.4,61,3,4.7,5,22.5,0,4.9
2012/1/24,348,181813,232,457933,522,180,-4.8,1,6.6,64,4,5,3,0.5,5.6,5.5
2012/1/25,,,,,,,-4.7,0.5,0.6,64,5,4.1,4.1,0,8.5,5.3
2012/1/26,351,237184,234,709512,525,50,-6.1,1.5,0.2,68,6,4.9,3.2,0,9.7,7.2
2012/1/27,353,186398,237,620355,264,300,-6.2,3,2.5,72,6,7.1,3.2,0,8.2,6.5
2012/1/28,355,148241,232,579629,229,6030,-6.4,20,0.6,92,22,4,2.6,0,7.4,5.9
2012/1/29,,,,,,,-6.1,4,5.7,96,6,5.5,2.9,0,8.4,9.2
2012/1/30,349,222206,239,592991,242,10,-5.6,8,0.6,101,17,6.1,3.7,0,9.4,6.7
2012/1/31,342,204553,234,381327,229,400,-5.9,10,0.4,106,13,6.6,4.1,0,9.6,5.3
2012/2/1,334,220014,225,175963,235,30,-3.7,17.5,0,119,20,9.3,6,0,6.2,9.2
2012/2/2,351,154028,251,516127,,,-5.1,4.5,3.3,123,5,4.4,2.6,0,8.7,9.8
2012/2/3,351,181435,267,579072,254,70,-4.8,0.5,4,116,2,4,2.8,0,9.5,4.9
2012/2/4,354,178765,256,521706,,,-4.8,0.5,2.3,108,5,6,5.5,0,9.8,3.9
2012/2/5,,,,,,,-3.3,0,1.1,107,0,4.1,6.1,0,3.5,5.1
2012/2/6,346,224416,260,632971,,,-0.5,0,4.4,101,1,2.6,4.9,4,0,4.4
2012/2/7,349,190635,263,410724,,,1.9,0,0.4,96,2,5.4,7.7,28.5,0,4.7
2012/2/8,348,158560,251,158247,228,1540,-5.2,1,1.5,93,8,7.1,6.6,0,0.3,7
2012/2/9,362,187472,262,559573,194,660,-6.3,3.5,2.8,101,10,4.5,4.7,0,9.5,4.4
2012/2/10,354,279156,275,580179,,,-5.6,1.5,1,102,3,6.9,5.7,0,8.4,4.7
2012/2/11,,,,,,,-5.7,2.5,0.2,101,7,5.1,5.4,0,7.2,5.7
2012/2/12,,,,,,,-5.2,3,0,102,6,5.8,5,0,9.9,7.5
2012/2/13,355,286948,273,606903,263,30,-1.1,0,7.3,102,0,4.6,5.8,0,2.7,3.8
2012/2/14,353,187163,280,428592,199,930,1.2,0,6.7,96,3,2.9,5.2,3.5,0,5.2
2012/2/15,368,197569,260,161609,207,795,-1.8,7.5,1.7,93,1,6.4,7.6,0,0.6,6.5
2012/2/16,358,178700,284,467526,213,310,-4.5,1.5,2,95,6,4.6,3.3,1,0,6.2
2012/2/17,366,149905,287,434051,210,600,-5.4,1.5,2.5,96,6,4.7,3.7,2,5.9,5.3
2012/2/18,359,182957,277,451399,,,-5.4,7.5,1.9,106,14,6.2,2.5,0.5,9.8,8.4
2012/2/19,,,,,,,-4.2,1,4.1,107,3,4.7,3.3,0,8.7,5.2
2012/2/20,361,281421,287,390531,,,-1.5,0.5,5.8,102,5,4.4,5.8,0,10,6.2
2012/2/21,350,170018,297,340432,,,-1.8,2.5,6.4,104,7,5.5,8.1,0,10.1,4.9
2012/2/22,,,,,,,-2.8,0,9.1,95,0,2.9,7.9,0,3.1,4.7
2012/2/23,358,261130,287,476417,223,500,-2.3,10.5,0,102,11,4,7.8,17,2.7,7.3
2012/2/24,370,115587,285,366989,203,505,-0.1,7,1.3,103,5,5.3,11.5,0,7.7,9.5
2012/2/25,371,169517,307,223563,201,465,-1.8,1,0,101,1,1.8,5.8,19,0,5.4
2012/2/26,,,,,,,-2.6,2,4.7,103,9,5.2,6,0,0.4,8
2012/2/27,360,215055,346,275301,212,150,-4.4,17.5,2,124,24,5.7,4.7,0,5.7,8.2
2012/2/28,325,271119,301,144930,143,2210,-4.4,0,7.9,121,1,5.1,3.7,0,8.2,4.2
2012/2/29,357,154971,303,107507,210,10,-2.5,0,9.2,111,2,2.3,2.3,18.5,0,5.3
2012/3/1,336,275713,282,181866,210,40,-1.1,0,10.3,106,2,2.1,8.2,0,3.1,4.7
2012/3/2,384,143105,299,164208,295,165,-0.2,0,0,103,1,2.9,7.3,10,0,5.3
2012/3/3,363,196793,307,142193,,,-1.2,0,3.5,101,1,5,7.1,0.5,6.4,5.3
2012/3/4,,,,,,,-1.8,0.5,1.4,103,5,3.3,5.5,0.5,0,3.9
2012/3/5,379,196591,313,180590,,,-1.4,2,0,102,5,2.5,5.7,37,0,5.7
2012/3/6,375,188256,337,125632,,,2.6,0.5,0,100,2,3.5,11.4,3,4.2,5.4
2012/3/7,,,,,,,2.7,3.5,0.1,96,1,7.2,12.6,0,0.3,5.7
2012/3/8,371,240247,325,187349,,,2,0,7.3,92,0,3.2,9.6,0,0,4.9
2012/3/9,372,173139,327,190030,,,1.8,0,7,88,0,2.9,7.3,26.5,0,5.4
2012/3/10,372,229345,337,141403,780,70,1.6,0,7.4,85,1,4.7,5.3,19.5,0.1,6.2
2012/3/11,,,,,,,1,1,1.7,80,1,4.2,7.4,0,4.9,5.9
2012/3/12,390,258949,334,156861,,,-0.8,0.5,0,80,7,5.5,7.2,0,7.4,7.3
2012/3/13,379,170879,332,117490,,,-1.5,2,1,83,7,4.6,6.8,0,10.6,7.2
2012/3/14,,,,,,,-0.1,2.5,7.1,78,3,5.1,7.2,0,9.3,4.8
2012/3/15,379,307776,326,167548,,,0.8,10,1.7,81,9,5.9,7.9,0,11.2,9.7
2012/3/16,390,202115,314,110772,,,0.8,0,8.4,77,2,3.4,7.7,0,9.2,5.7
2012/3/17,391,168235,312,91180,,,2.6,0,0.4,74,4,2.1,6.8,24,0,3.7
2012/3/18,,,,,,,2.4,0,0.1,71,5,5.9,9.6,1,0,3.5
2012/3/19,383,261905,335,84639,,,-2,4,1.3,76,12,9,9.1,0,6.5,8.8
2012/3/20,,,,,,,-0.8,0,3.9,73,3,7,8.2,0,8.7,6.7
2012/3/21,390,168897,319,64394,,,0.6,0.5,4.1,72,3,6.8,8.1,0,10.2,9
2012/3/22,383,169293,349,78988,226,1230,4.4,4.5,4.9,66,1,6.7,10.1,0,3.5,3.6
2012/3/23,394,147014,330,59125,,,2.7,7.5,3,62,5,4.3,9.9,11,0,4.7
2012/3/24,391,133278,332,71650,780,70,-0.1,23,0,76,17,4.1,8.4,3.5,1.8,4.5
2012/3/25,,,,,,,0.5,0.5,3,75,2,4.4,9.1,0,8.1,5.7
2012/3/26,388,232327,390,68946,223,290,-1,4.5,2.5,72,9,4.9,8.2,0,7.2,8.2
2012/3/27,367,149564,349,29475,229,360,2.8,2,3.8,68,3,5,9.6,0,11.9,7.5
2012/3/28,386,103053,334,23096,210,100,2.2,5,1.4,64,2,3.6,11.2,0,8.8,9.4
2012/3/29,380,128336,408,46645,189,250,4.5,0,10,61,0,6.3,11.7,0,11.9,7
2012/3/30,378,108971,394,36872,224,120,8.6,4,1.1,56,0,4.7,15.3,0,3.7,9.9
2012/3/31,382,99429,281,17626,211,160,1.7,43.5,0,54,6,4.4,14.1,8,0.7,14.2
2012/4/1,,,,,,,0.3,2.5,4.2,54,5,5.1,10,0,9.3,7.1
2012/4/2,389,162399,407,28750,,,0.9,1,6.8,57,3,5.3,10.8,0,11,6.3
2012/4/3,378,144950,403,28091,,,2.5,9,0.3,51,0,7.3,14,21.5,2,15.1
2012/4/4,372,132035,308,13047,,,2.3,17.5,2.1,46,4,13.1,11.9,0,10.7,8.1
2012/4/5,374,126906,396,18718,,,2.2,2.5,9.7,45,2,7.6,14.8,0,10.2,9.9
2012/4/6,389,125315,473,26595,,,-0.1,3.5,2.9,44,8,6.5,10.7,0.5,8,7.6
2012/4/7,394,126187,378,16886,,,0.2,1,3,45,4,6.4,8.8,0,7.9,7.5
2012/4/8,,,,,,,2.6,0,11.2,40,3,5.2,9.5,0,9.9,7
2012/4/9,374,172979,434,17998,,,7.5,0,8.3,34,1,8.8,16.6,0,11,6.2
2012/4/10,395,103188,324,7894,,,7.3,0,10.9,23,0,5,16.4,0,9.1,7.7
2012/4/11,,,,,,,8.9,2.5,0.9,16,0,5.2,15.7,16,0,8
2012/4/12,388,178806,591,6909,,,7.6,0,10.8,7,0,6,17.4,0,11.7,6.7
2012/4/13,396,102683,253,1402,,,7.7,1,11,0,0,6.4,17.2,4,5.6,5.3
2012/4/14,399,99247,370,1992,,,6.5,0,10.7,0,0,3.9,9.9,32,0,5.6
2012/4/15,,,,,,,6.3,0,8.7,0,0,3.2,11.8,0,8.9,4.8
2012/4/16,408,191609,2139,1816,,,7.3,0,6,0,0,3.6,13.1,0,5.1,4.8
2012/4/17,390,127694,2509,77,224,800,8.6,0,2.1,0,0,3.4,14.9,1.5,3,6.4
2012/4/18,402,115524,190,1970,,,7.9,0,1.7,0,0,3.7,15,0,7.6,5.7
2012/4/19,406,104267,1145,3302,,,8.6,0,7.9,0,0,4.2,14.2,0,1,5.1
2012/4/20,401,116242,296,655,,,7.9,0,12.8,0,0,4.5,13.3,0,0.3,4.4
2012/4/21,396,115535,385,190,,,8.2,0,12,0,0,4.7,11.8,0,0,5
2012/4/22,,,,,,,11.7,0.5,2.1,0,0,6.2,11.3,5.5,0,3.5
2012/4/23,409,140433,2112,2645,,,12,6.5,0.2,0,0,2.5,13.4,9,0,4.5
2012/4/24,399,169210,1162,79,,,11.3,0.5,0.3,0,0,4.4,18.3,1,8.2,7.1
2012/4/25,,,,,,,11.9,0,8.5,0,0,4.3,18.4,0,4.1,6.3
2012/4/26,400,150624,1969,2704,,,14.8,0.5,3.5,0,0,6.1,18.3,1,0.1,8.4
2012/4/27,416,134324,1726,555,,,10.6,2,6.8,0,0,7,16.6,26.5,0,5
2012/4/28,385,187538,1882,1941,,,12,0,12.4,0,0,4.5,18.3,0,7.7,5.3
2012/4/29,,,,,,,14.5,0,9.8,0,0,5.8,20.6,0,9.7,4.8
2012/4/30,,,,,,,15.6,0,11.9,0,0,4.6,20.7,0,0.3,5.8
2012/5/1,412,173576,1934,4181,,,18.3,0,11.9,0,0,5.7,20.5,0.5,2.3,7.6
2012/5/2,406,148359,1899,1422,,,18,0,7.3,0,0,4.4,18.8,37,0,5.9
2012/5/3,425,122827,1841,3833,,,14.1,23,0,0,0,5.3,17.9,121.5,0,5.4
2012/5/4,,,,,,,13.2,13.5,0.1,0,0,2.5,18.6,5,1.2,3.6
2012/5/5,,,,,,,12.5,3,2.7,0,0,7.2,21.2,0,12.3,8.3
2012/5/6,,,,,,,12.1,2.5,3.3,0,0,5.4,19.7,1,7.6,10.1
2012/5/7,413,146941,1825,4140,,,13.3,0.5,4.7,0,0,5.5,18.5,0,11.3,6.7
2012/5/8,387,178272,1568,4019,,,14.4,0,5.1,0,0,5.3,20.5,0,7.1,5.2
2012/5/9,,,,,,,13.3,0,7.5,0,0,4.9,19.3,7.5,0,5.8
2012/5/10,425,230807,1763,6714,,,11.4,0,0,0,0,3.7,17.1,3.5,7.6,9.5
2012/5/11,420,92748,1588,5309,,,11.2,0.5,4.9,0,0,5.6,17.4,0,11.9,8.7
2012/5/12,420,100941,1629,1896,,,8.9,2,0,0,0,4.7,16.3,0,8.4,8.1
2012/5/13,,,,,,,11.2,0,10.9,0,0,6,17,0,10.8,5.5
2012/5/14,422,169188,1667,6729,,,12.7,0,11.4,0,0,4.2,19.7,0,11.8,7.1
2012/5/15,408,104134,1431,1576,,,12.3,3,0,0,0,2.7,18.7,11.5,0,6.1
2012/5/16,418,88780,1502,5017,,,13.3,1,2.2,0,0,5.3,22,0,8.2,8.4
2012/5/17,418,86657,1489,5207,,,12.9,0,8,0,0,5.1,21.6,0,3.6,7.9
2012/5/18,421,101272,1424,9194,,,13.9,0,12.3,0,0,6.2,18.8,4.5,7.3,10.6
2012/5/19,409,92643,1467,3246,,,13.1,0,8.8,0,0,4.7,20.3,0,11.6,7.4
2012/5/20,,,,,,,14.6,0,11.6,0,0,5.4,21.3,0,5.3,5.5
2012/5/21,418,155061,1438,9917,,,15.2,0,12,0,0,4.1,20.2,0,6.9,5.8
2012/5/22,429,83850,1350,2723,,,15.2,0,5.7,0,0,5.2,14.6,33,0,6.2
2012/5/23,,,,,,,12.9,0,0.2,0,0,2.8,18.7,0,8.3,6.4
2012/5/24,420,128546,1383,11916,,,16.1,0,10.2,0,0,5.2,22,0,9.3,5.8
2012/5/25,429,107192,1335,8249,,,16.6,3.5,3.7,0,0,4.3,20.4,0,0.1,4.2
2012/5/26,418,112179,1270,8846,,,15.1,0,10.4,0,0,4.5,21,0,5.9,5.9
2012/5/27,,,,,,,14.9,0,13.4,0,0,4.9,22.5,0,12.5,7.1
2012/5/28,419,128108,1309,14625,,,14.3,13.5,4.1,0,0,4.5,21.4,5.5,7.9,9
2012/5/29,399,114551,1269,5656,,,14.2,0.5,0.3,0,0,4.7,20.7,0.5,6,9.1
2012/5/30,426,66926,1141,6378,,,13.7,0,5.5,0,0,5.4,20.1,0,6,5.7
2012/5/31,410,74232,1217,11120,,,14,0,12.5,0,0,4.8,20.3,0,4.2,5.9
2012/6/1,410,94002,1230,16303,,,15.2,0,10.8,0,0,5.1,21.3,1.5,2.6,6.4
2012/6/2,444,98362,1095,12632,,,14.8,0,12,0,0,4,21.6,0,7.9,7.1
2012/6/3,,,,,,,15.6,0,8.3,0,0,3.9,20.3,0.5,2.8,5.2
2012/6/4,444,110619,1101,20440,,,17.3,0,10.4,0,0,5.5,22.1,0,9.9,6.4
2012/6/5,445,87082,1226,10665,,,19.6,0,11.8,0,0,4.9,21.7,0,0,6.7
2012/6/6,,,,,,,16.8,1.5,0,0,0,2.9,19.4,4,0,6
2012/6/7,443,133214,1025,29927,,,18.1,0,4.2,0,0,3.9,21.1,0,9,6.6
2012/6/8,452,81731,986,14309,,,18.7,0,0.9,0,0,4.4,23.5,1,9.5,7.1
2012/6/9,424,83847,1019,24335,1734,133,18.1,12,2.3,0,0,4.2,19,29.5,0,5.8
2012/6/10,,,,,,,17,1,0.4,0,0,4.1,21.9,1,5.6,6.5
2012/6/11,444,155519,974,32699,2042,118,19.3,0,9.2,0,0,3.9,20,1,0.3,4.5
2012/6/12,433,79702,997,11197,1720,198,18,0,10.1,0,0,5.7,16.9,11.5,0,4.7
2012/6/13,,,,,,,16.1,0,13.3,0,0,4.7,17.4,1,1.2,5.7
2012/6/14,441,112300,965,39002,1686,246,15,0,13.1,0,0,4.1,18.6,0,8.5,4.3
2012/6/15,438,78434,953,14591,1572,280,15.8,0,8.6,0,0,3.8,20.3,0,7.3,6.4
2012/6/16,420,84155,969,26417,1498,430,16.8,0,2.3,0,0,3.7,20.2,6.5,0,4.7
2012/6/17,,,,,,,17.5,4,2,0,0,4.1,23.3,7,3.4,4.5
2012/6/18,450,131803,919,36589,1393,539,18,1,1.8,0,0,3.8,24.5,0,5.1,6.8
2012/6/19,444,94979,980,20353,1451,638,18.6,1.5,2.9,0,0,4.5,23.9,72.5,0,16.3
2012/6/20,,,,,,,17.1,9,0,0,0,6.7,26.9,0,4.9,15.7
2012/6/21,436,113086,916,31992,1243,1014,17.4,0,1.3,0,0,5.3,23.7,0,0.2,6.8
2012/6/22,446,75491,971,29273,1370,425,15.7,1.5,0,0,0,3.5,21.1,48,0.1,6.2
2012/6/23,452,77957,957,24701,1088,1509,15.3,0,0,0,0,4,22.2,0,1.8,5.5
